"Taxon","Photo_path"
"Persicaria vivipara","C3"
"Polytrichum commune","C3"
"Populus tremula","C3"
"Rhinanthus minor","C3"
"Sedum roseum","CAM"
"Rhododendron lapponicum","C3"
"Ribes spicatum","C3"
"Rubus chamaemorus","C3"
"Rubus saxatilis","C3"
"Rumex obtusifolius","C3"
"Salix herbacea","C3"
"Salix lapponum","C3"
"Salix myrsinites","C3"
"Salix polaris","C3"
"Salix reticulata","C3"
"Solidago virgaurea","C3"
"Sorbus aucuparia","C3"
"Tanacetum vulgare","C3"
"Trifolium pratense","C3"
"Trollius europaeus","C3"
"Vaccinium myrtillus","C3"
"Vaccinium uliginosum","C3"
"VACCINIUM VITIS-IDAEA","C3"
"Veronica alpina","C3"
"Vicia cracca","C3"
"Achillea millefolium","C3"
"Alnus incana","C3"
"Andromeda polifolia","C3"
"Angelica sylvestris","C3"
"Anthriscus sylvestris","C3"
"Arctous alpina","C3"
"Astragalus alpinus","C3"
"Astragalus frigidus","C3"
"Bartsia alpina","C3"
"Betula nana","C3"
"Betula pubescens","C3"
"Calamagrostis lapponica","C3"
"Caltha palustris","C3"
"Carex capitata","C3"
"Carex rostrata","C3"
"Carex saxatilis","C3"
"Carex vaginata","C3"
"Cassiope tetragona","C3"
"Epilobium angustifolium","C3"
"Cornus suecica","C3"
"Deschampsia cespitosa","C3"
"Diphasiastrum complanatum","C3"
"Drosera rotundifolia","C3"
"Dryas octopetala","C3"
"Elymus repens","C3"
"Empetrum nigrum","C3"
"Equisetum sylvaticum","C3"
"Eriophorum angustifolium","C3"
"Euphrasia frigida","C3"
"Filipendula ulmaria","C3"
"Geranium sylvaticum","C3"
"Gymnocarpium dryopteris","C3"
"Juncus arcticus","C3"
"Juncus trifidus","C3"
"Juniperus communis","C3"
"Lathyrus pratensis","C3"
"Luzula multiflora","C3"
"Lycopodium annotinum","C3"
"Matteuccia struthiopteris","C3"
"Melampyrum sylvaticum","C3"
"Orthilia secunda","C3"
"Pedicularis hirsuta","C3"
"Pedicularis lapponica","C3"
"Pedicularis sceptrum-carolinum","C3"
"Phleum alpinum","C3"
"Picea abies","C3"
"Pinguicula vulgaris","C3"
"Pinus sylvestris","C3"
"Persicaria vivipara","C3"
"Polytrichum commune","C3"
"Populus tremula","C3"
"Rhinanthus minor","C3"
"Sedum roseum","CAM"
"Rhododendron lapponicum","C3"
"Ribes spicatum","C3"
"Rubus chamaemorus","C3"
"Rubus saxatilis","C3"
"Rumex obtusifolius","C3"
"Salix herbacea","C3"
"Salix lapponum","C3"
"Salix myrsinites","C3"
"Salix polaris","C3"
"Salix reticulata","C3"
"Solidago virgaurea","C3"
"Sorbus aucuparia","C3"
"Tanacetum vulgare","C3"
"Trifolium pratense","C3"
"Trollius europaeus","C3"
"Vaccinium myrtillus","C3"
"Vaccinium uliginosum","C3"
"VACCINIUM VITIS-IDAEA","C3"
"Veronica alpina","C3"
"Vicia cracca","C3"
"Anthriscus sylvestris","C3"
"Arctous alpina","C3"
"Astragalus frigidus","C3"
"Bartsia alpina","C3"
"Betula nana","C3"
"Betula pubescens","C3"
"Calamagrostis lapponica","C3"
"Carex rostrata","C3"
"Epilobium angustifolium","C3"
"Cornus suecica","C3"
"Empetrum nigrum","C3"
"Eriophorum angustifolium","C3"
"Filipendula ulmaria","C3"
"Juncus arcticus","C3"
"Juniperus communis","C3"
"Matteuccia struthiopteris","C3"
"Melampyrum sylvaticum","C3"
"Pedicularis hirsuta","C3"
"Pedicularis lapponica","C3"
"Pedicularis sceptrum-carolinum","C3"
"Pinus sylvestris","C3"
"Persicaria vivipara","C3"
"Populus tremula","C3"
"Rhinanthus minor","C3"
"Rubus chamaemorus","C3"
"Salix myrsinites","C3"
"Salix phylicifolia","C3"
"Sorbus aucuparia","C3"
"Tanacetum vulgare","C3"
"Vaccinium myrtillus","C3"
"Vaccinium uliginosum","C3"
"VACCINIUM VITIS-IDAEA","C3"
"Vicia cracca","C3"
"Acer campestre","C3"
"Acer platanoides","C3"
"Acer pseudoplatanus","C3"
"Aesculus hippocastanum","C3"
"Agrostis capillaris","C3"
"Alnus glutinosa","C3"
"Amelanchier lamarckii","C3"
"Andromeda polifolia","C3"
"Anthoxanthum odoratum","C3"
"Anthriscus sylvestris","C3"
"Arrhenatherum elatius","C3"
"Berberis vulgaris","C3"
"Betula nana","C3"
"Betula pendula","C3"
"Brachypodium pinnatum","C3"
"Briza media","C3"
"Bromus erectus","C3"
"Buddleja davidii","C3"
"Buxus sempervirens","C3"
"Calluna vulgaris","C3"
"Carex flacca","C3"
"Carpinus betulus","C3"
"Castanea sativa","C3"
"Centaurea scabiosa","C3"
"Cerastium fontanum","C3"
"Epilobium angustifolium","C3"
"Chenopodium album","C3"
"Clematis vitalba","C3"
"Erigeron canadensis","C3"
"Cornus sanguinea","C3"
"Corylus avellana","C3"
"Cotoneaster horizontalis","C3"
"Crataegus monogyna","C3"
"Cytisus scoparius","C3"
"Dactylis glomerata","C3"
"Deschampsia flexuosa","C3"
"Digitalis purpurea","C3"
"Dryas octopetala","C3"
"Empetrum nigrum","C3"
"Epilobium hirsutum","C3"
"Erica cinerea","C3"
"Eriophorum vaginatum","C3"
"Euonymus europaeus","C3"
"Fagus sylvatica","C3"
"Festuca ovina","C3"
"Festuca rubra","C3"
"Ficus carica","C3"
"Fraxinus excelsior","C3"
"Fuchsia magellanica","C3"
"Galium aparine","C3"
"Hedera helix","C3"
"Helianthemum nummularium","C3"
"Helianthus annuus","C3"
"Helictotrichon pratense","C3"
"Elaeagnus rhamnoides","C3"
"Holcus lanatus","C3"
"Hypericum calycinum","C3"
"Ilex aquifolium","C3"
"Juniperus communis","C3"
"Koeleria macrantha","C3"
"Laburnum anagyroides","C3"
"Larix decidua","C3"
"Larix kaempferi","C3"
"Leontodon hispidus","C3"
"Ligustrum vulgare","C3"
"Lolium perenne","C3"
"Lonicera periclymenum","C3"
"Lotus corniculatus","C3"
"Malus sylvestris","C3"
"Origanum vulgare","C3"
"Picea sitchensis","C3"
"Pilosella officinarum","C3"
"Pinus sylvestris","C3"
"Plantago lanceolata","C3"
"Poa annua","C3"
"Populus nigra","C3"
"Populus tremula","C3"
"Prunus avium","C3"
"Prunus laurocerasus","C3"
"Prunus lusitanica","C3"
"Prunus padus","C3"
"Prunus spinosa","C3"
"Pyrus pyraster","C3"
"Quercus ilex","C3"
"Quercus petraea","C3"
"Quercus robur","C3"
"Rhamnus cathartica","C3"
"Rhododendron ponticum","C3"
"Ribes alpinum","C3"
"Ribes nigrum","C3"
"Ribes rubrum","C3"
"RIBES UVA-CRISPA","C3"
"Rosa arvensis","C3"
"Rosa canina","C3"
"Rubus chamaemorus","C3"
"Rubus vestitus","C3"
"Rubus idaeus","C3"
"Rumex acetosella","C3"
"Salix alba","C3"
"Salix caprea","C3"
"Salix fragilis","C3"
"Sambucus nigra","C3"
"Solanum dulcamara","C3"
"Sorbus aria","C3"
"Sorbus aucuparia","C3"
"Sorbus torminalis","C3"
"Symphoricarpos albus","C3"
"Tamarix gallica","C3"
"Taxus baccata","C3"
"Thymus praecox subsp. polytrichus","C3"
"Tilia cordata","C3"
"Tilia x europaea","C3"
"Ulex europaeus","C3"
"Ulex gallii","C3"
"Ulmus glabra","C3"
"Urtica dioica","C3"
"Vaccinium myrtillus","C3"
"VACCINIUM VITIS-IDAEA","C3"
"Viburnum lantana","C3"
"Viburnum opulus","C3"
"Zea mays","C4"
"Acer campestre","C3"
"Acer platanoides","C3"
"Acer pseudoplatanus","C3"
"Aesculus hippocastanum","C3"
"Alnus glutinosa","C3"
"Amelanchier lamarckii","C3"
"Berberis vulgaris","C3"
"Betula pendula","C3"
"Bromus erectus","C3"
"Buddleja davidii","C3"
"Carex flacca","C3"
"Carpinus betulus","C3"
"Castanea sativa","C3"
"Centaurea scabiosa","C3"
"Epilobium angustifolium","C3"
"Chenopodium album","C3"
"Clematis vitalba","C3"
"Cornus sanguinea","C3"
"Corylus avellana","C3"
"Crataegus monogyna","C3"
"Digitalis purpurea","C3"
"Epilobium hirsutum","C3"
"Eriophorum vaginatum","C3"
"Euonymus europaeus","C3"
"Fagus sylvatica","C3"
"Festuca rubra","C3"
"Ficus carica","C3"
"Fraxinus excelsior","C3"
"Fuchsia magellanica","C3"
"Hedera helix","C3"
"Helictotrichon pratense","C3"
"Holcus lanatus","C3"
"Hypericum calycinum","C3"
"Ilex aquifolium","C3"
"Laburnum anagyroides","C3"
"Ligustrum vulgare","C3"
"Malus sylvestris","C3"
"Origanum vulgare","C3"
"Plantago lanceolata","C3"
"Populus nigra","C3"
"Populus tremula","C3"
"Prunus avium","C3"
"Prunus laurocerasus","C3"
"Prunus lusitanica","C3"
"Prunus padus","C3"
"Prunus spinosa","C3"
"Pyrus pyraster","C3"
"Quercus ilex","C3"
"Quercus petraea","C3"
"Quercus robur","C3"
"Rhododendron ponticum","C3"
"Ribes alpinum","C3"
"Ribes nigrum","C3"
"Ribes rubrum","C3"
"RIBES UVA-CRISPA","C3"
"Rosa canina","C3"
"Rubus chamaemorus","C3"
"Rubus vestitus","C3"
"Rubus idaeus","C3"
"Salix alba","C3"
"Salix caprea","C3"
"Sambucus nigra","C3"
"Solanum dulcamara","C3"
"Sorbus aria","C3"
"Sorbus aucuparia","C3"
"Sorbus torminalis","C3"
"Symphoricarpos albus","C3"
"Tilia cordata","C3"
"Tilia x europaea","C3"
"Ulmus glabra","C3"
"Urtica dioica","C3"
"VACCINIUM VITIS-IDAEA","C3"
"Viburnum lantana","C3"
"Viburnum opulus","C3"
"Zea mays","C4"
"Acer campestre","C3"
"Acer platanoides","C3"
"Acer pseudoplatanus","C3"
"Aesculus hippocastanum","C3"
"Agrostis capillaris","C3"
"Alnus glutinosa","C3"
"Amelanchier lamarckii","C3"
"Andromeda polifolia","C3"
"Anthoxanthum odoratum","C3"
"Anthriscus sylvestris","C3"
"Arrhenatherum elatius","C3"
"Berberis vulgaris","C3"
"Betula nana","C3"
"Betula pendula","C3"
"Brachypodium pinnatum","C3"
"Briza media","C3"
"Bromus erectus","C3"
"Buddleja davidii","C3"
"Buxus sempervirens","C3"
"Calluna vulgaris","C3"
"Carex flacca","C3"
"Carpinus betulus","C3"
"Castanea sativa","C3"
"Centaurea scabiosa","C3"
"Cerastium fontanum","C3"
"Epilobium angustifolium","C3"
"Chenopodium album","C3"
"Clematis vitalba","C3"
"Erigeron canadensis","C3"
"Cornus sanguinea","C3"
"Corylus avellana","C3"
"Cotoneaster horizontalis","C3"
"Crataegus monogyna","C3"
"Cytisus scoparius","C3"
"Dactylis glomerata","C3"
"Deschampsia flexuosa","C3"
"Digitalis purpurea","C3"
"Dryas octopetala","C3"
"Empetrum nigrum","C3"
"Epilobium hirsutum","C3"
"Erica cinerea","C3"
"Eriophorum vaginatum","C3"
"Euonymus europaeus","C3"
"Fagus sylvatica","C3"
"Festuca ovina","C3"
"Festuca rubra","C3"
"Ficus carica","C3"
"Fraxinus excelsior","C3"
"Fuchsia magellanica","C3"
"Galium aparine","C3"
"Hedera helix","C3"
"Helianthemum nummularium","C3"
"Helianthus annuus","C3"
"Helictotrichon pratense","C3"
"Elaeagnus rhamnoides","C3"
"Holcus lanatus","C3"
"Hypericum calycinum","C3"
"Ilex aquifolium","C3"
"Juniperus communis","C3"
"Koeleria macrantha","C3"
"Laburnum anagyroides","C3"
"Larix decidua","C3"
"Larix kaempferi","C3"
"Leontodon hispidus","C3"
"Ligustrum vulgare","C3"
"Lolium perenne","C3"
"Lonicera periclymenum","C3"
"Lotus corniculatus","C3"
"Malus sylvestris","C3"
"Origanum vulgare","C3"
"Picea sitchensis","C3"
"Pilosella officinarum","C3"
"Pinus sylvestris","C3"
"Plantago lanceolata","C3"
"Poa annua","C3"
"Populus nigra","C3"
"Populus tremula","C3"
"Prunus avium","C3"
"Prunus laurocerasus","C3"
"Prunus lusitanica","C3"
"Prunus padus","C3"
"Prunus spinosa","C3"
"Pyrus pyraster","C3"
"Quercus ilex","C3"
"Quercus petraea","C3"
"Quercus robur","C3"
"Rhamnus cathartica","C3"
"Rhododendron ponticum","C3"
"Ribes alpinum","C3"
"Ribes nigrum","C3"
"Ribes rubrum","C3"
"RIBES UVA-CRISPA","C3"
"Rosa arvensis","C3"
"Rosa canina","C3"
"Rubus chamaemorus","C3"
"Rubus vestitus","C3"
"Rubus idaeus","C3"
"Rumex acetosella","C3"
"Salix alba","C3"
"Salix caprea","C3"
"Salix fragilis","C3"
"Sambucus nigra","C3"
"Solanum dulcamara","C3"
"Sorbus aria","C3"
"Sorbus aucuparia","C3"
"Sorbus torminalis","C3"
"Symphoricarpos albus","C3"
"Tamarix gallica","C3"
"Taxus baccata","C3"
"Thymus praecox subsp. polytrichus","C3"
"Tilia cordata","C3"
"Tilia x europaea","C3"
"Ulex europaeus","C3"
"Ulex gallii","C3"
"Ulmus glabra","C3"
"Urtica dioica","C3"
"Vaccinium myrtillus","C3"
"VACCINIUM VITIS-IDAEA","C3"
"Viburnum lantana","C3"
"Viburnum opulus","C3"
"Zea mays","C4"
"Acer campestre","C3"
"Acer platanoides","C3"
"Acer pseudoplatanus","C3"
"Aesculus hippocastanum","C3"
"Alnus glutinosa","C3"
"Amelanchier lamarckii","C3"
"Berberis vulgaris","C3"
"Betula pendula","C3"
